Structure [idcode],Structure No,Catalog ID,Plate_ID,Well,"V, ÂµL","Conc, mM",Formula,SMILES,MW,Purity,PO,MW_salt,Stereochem.data,Geometric.isomer,Chemical name,ClogP,logS,HBD,HBA,TPSA,RotBonds,% inh rep1,% inh rep2
fhqPc@MApPDQ@HQHXEIKDeeDeIW`rp@UUD@@ !BWVk~@@C~_?{~_{_}bOw~_?y?bGw~_{_}bOw~_?y?bOt,267,Z5354923951,1907006-Y10-01,K19,10,10,C10H14ClFN2O2S,O=S(c(cc1)ccc1N1CCNCC1)(F)=O.Cl,280.7468,95.37,27521095,36.4609,Achiral,None,4-(piperazin-1-yl)benzene-1-sulfonyl fluoride hydrochloride,"2,18","-2,409",1,4,"49,41",2,-5.893657912,-9.192982456
dknLPASN@HbPrRRqQIZ]e``b@@ !B@k^H@ovHmwvw@oy??`Bw_[]}mpK~_?x@,268,Z3333543192,1907006-Y10-01,L19,10,10,C7H8FNO3S,CCOc(nccc1)c1S(F)(=O)=O,205.2067,95,27521095,0,Achiral,None,2-ethoxypyridine-3-sulfonyl fluoride,"1,832","-1,609",0,4,"56,26",3,5.381165919,11.29824561
dg^DhJS@BHdMdCdKdLddlRVT`sK@AU@@@ !B_?{~_pC~?`BH@k\B?`C~@K\B?`C~@@C~_?x,269,Z2757554682,1907006-Y10-01,M19,10,10,C6H3F4NO2S,O=S(c1ncc(C(F)(F)F)cc1)(F)=O,229.1521,99.58,27521095,0,Achiral,None,5-(trifluoromethyl)pyridine-2-sulfonyl fluoride,"2,055","-2,348",0,3,"47,03",2,-5.124747134,-11.37724551
dcMDpBY]CDxHfPRYgVbZejiX@@ !BKA`@?fU`Ff@lYq`ls\?~@L?Rs\?PsP,270,Z3016191649,1907006-Y10-01,N19,10,10,C5H6BrFN2O2S,C[n]1nc(CS(F)(=O)=O)c(Br)c1,257.0807,95,27521095,0,Achiral,None,(4-bromo-1-methyl-1H-pyrazol-3-yl)methanesulfonyl fluoride,"0,895","-1,054",0,3,"51,96",2,6.068779501,4.457751164
dk\LPDrPBHdLddlTRVz]NVdHB@@ !BFa|_YV@ZYV@_FbpX?`Bw?ULXm?rw?K_},271,Z2941536633,1907006-Y10-01,O19,10,10,C8H5FO3S,O=S(c1c[o]c2c1cccc2)(F)=O,200.1869,95,27521095,0,Achiral,None,1-benzofuran-3-sulfonyl fluoride,"2,865","-2,645",0,2,"47,28",1,-1.493550577,-8.748221906
do]DpM_BBH`HRPpJRUJQIZwejjzh@@ !BmTZt^GbKA{RKAriobp^K^K_}bOvK^Oy??g~H?P,272,Z3717281431,1907006-Y10-01,P19,10,10,C8H14ClFN2O2S,N#CC1(CCS(F)(=O)=O)CCNCC1.Cl,256.7254,95,27521095,36.4609,Achiral,None,2-(4-cyanopiperidin-4-yl)ethane-1-sulfonyl fluoride hydrochloride,"-0,483","-0,662",1,4,"69,96",3,2.579769179,5.761024182
fjmQQ@AVQ`ab`BHRFRRUQIKSQQIRTdlm@AMUWEAu@@ !BmpHBbOvwbGw~_{_}bOw~_?y?bOvH?_y?bOs~@Hc}mpJH@hc|mpJH?P,273,Z4262478480,1907006-Y10-01,A20,10,10,C12H11FN2O5S,C#CC(COCC1)N1C(c1cc(OS(F)(=O)=O)cnc1)=O,314.2895,95.61,27521095,0,Racemic or presumed racemic or meso,None,5-(3-ethynylmorpholine-4-carbonyl)pyridin-3-yl sulfurofluoridate,"-0,965","-2,642",0,5,"85,8",3,-4.982618772,-8.004926108
fjmPQ@M^Q`e`ADICIIJhdleMDeIJSfV`@i`@`@@ !B_?{~_pC~?`Bw@k]}?`Bw@k_|?`Bw?Ox@b@Jw@ox@mwvw@k\Bm?w~@@,274,Z4262297368,1907006-Y10-01,B20,10,10,C13H11FN2O4S,Cc1cccc(C(Nc(cc2)ccc2OS(F)(=O)=O)=O)n1,310.3008,100,27521095,0,Achiral,None,4-(6-methylpyridine-2-amido)phenyl sulfurofluoridate,"1,17","-3,42",1,4,"85,36",4,18.53997683,19.08866995
flePS@AZQ`e`ADIALaddeTRRrfbteAcKP@TuTP@@ !B_?{~_pC~?`Bw@k]}?`Bw@k_|?`C~@K\Bmww~@IndiJRdiOx@,275,Z4607528886,1907006-Y10-01,C20,10,10,C10H10F2N2O4S,O=C(C(C1)CC1F)Nc1cc(OS(F)(=O)=O)cnc1,292.2592,98,27521095,0,Diastereomeric mixture,Unequal mixture of geometric isomers,5-(3-fluorocyclobutaneamido)pyridin-3-yl sulfurofluoridate,"-0,478","-2,18",1,4,"85,36",4,1.059803179,6.872852234
ff}`S@MHpRp@bD`VPrRRjIKISQQJRUflm@AS@Q@@@@ !B_[^H?PJHmpJw?_y?mpJw?[_}m?rw?[_|?`Bw?[_|?g~w?_x@mwvw?Oy?,276,Z4262337094,1907006-Y10-01,D20,10,10,C14H11F2NO4S,Cc(c(F)ccc1)c1C(Nc(cc1)ccc1OS(F)(=O)=O)=O,327.3032,97.75,27521095,0,Achiral,None,4-(3-fluoro-2-methylbenzamido)phenyl sulfurofluoridate,"1,578","-4,75",1,3,"72,47",4,-2.725208176,17.64032073
fjmQQ@AVQ`ad`BHRFRRUQIKSQIQRUELm@AMUUD`Lb`@ !B@hbw@gvwbOvH?Ox@bOvH@hc|bOvH?_y?bOs~@Hc}b@JH?Hc}?`BH?P,277,Z4262438515,1907006-Y10-01,E20,10,10,C12H15FN2O5S,C[C@H](C1)O[C@@H](C)CN1C(c1cc(OS(F)(=O)=O)cnc1)=O,318.3213,95.36,27521095,0,Achiral,Meso,"5-[(2R,6S)-2,6-dimethylmorpholine-4-carbonyl]pyridin-3-yl sulfurofluoridate","-0,867","-2,213",0,5,"85,8",3,9.797724399,-1.188903567
f`a`Q@EHpYp@bDaddebRrTrEJV@Bfh@@ !B?Xbw_PJwb@K~@Ha}bOrH@hc}bOrH?_y?bOrH?Xc|,278,Z3462626974,1907006-Y10-01,F20,10,10,C9H10FNO4S,COCC(Nc(cc1)ccc1S(F)(=O)=O)=O,247.2434,100,27521095,0,Achiral,None,4-(2-methoxyacetamido)benzene-1-sulfonyl fluoride,"1,772","-1,884",1,4,"72,47",4,-0.948166877,-8.058124174
ff}QQ@AVQ`aj`BHRFRRUQIKSQRYZRbueh@IjjjH@@ !B@O{~_w?~?`Bw?K_}?`Bw?K\B?`C~@H`BmpK~@K]}PJeUDC~imGbt^ETP,279,Z4262412289,1907006-Y10-01,G20,10,10,C13H17FN2O5S,CC1(CCOCC1)N(C)C(c1cc(OS(F)(=O)=O)cnc1)=O,332.3479,100,27521095,0,Achiral,None,5-[methyl(4-methyloxan-4-yl)carbamoyl]pyridin-3-yl sulfurofluoridate,"-1,919","-2,253",0,5,"85,8",4,-3.097345133,-1.717305152
fbuQQ@NZQaR\`BHRFRRVIYSQQQS`oAeffZjijPZbu@@ !BJxRDUER{nro_idz??[_OsYg_aBl_YVT_YrplYw?~YuO~@LwO`Dx,280,Z3071639987,1907006-Y10-01,H20,10,10,C11H13FN2O5S,C[C@@H](CC[C@H]1C(O)=O)N1C(c1cc(S(F)(=O)=O)c[nH]1)=O,304.2947,97.1,27521095,0,Racemic diastereomer with known relative stereochemistry,Cis,"rac-(2R,5R)-1-[4-(fluorosulfonyl)-1H-pyrrole-2-carbonyl]-5-methylpyrrolidine-2-carboxylic acid","1,22","-2,546",2,5,"107,54",3,7.277628032,2.305084746
ff}pS@AVBcAC@BHREYCIIJhdeihidmIVRrt@Du@A@@@ !B@O{~_w?~?`Bw@k]}?`Bw@k\B?`C~@K\Bb@K~@Ha}mpJH@ox@?`BH@ox@,281,Z4262541071,1907006-Y10-01,I20,10,10,C12H9F2N3O4S,CN(C(c1cc(OS(F)(=O)=O)cnc1)=O)c(cc1)ncc1F,329.2794,97.38,27521095,0,Achiral,None,5-[(5-fluoropyridin-2-yl)(methyl)carbamoyl]pyridin-3-yl sulfurofluoridate,"-1,571","-2,786",0,5,"89,46",4,-7.81671159,-0.406779661
fj}Qa@MFQbH@bDaddebRffRbRpeN}dll@Pu@`D@@@ !BbGu}m?rHmpJw__x@mpJw@k]}?`Bw@oy?mwvw?_y?mpK~_{_}mwvw?@,282,Z2895192371,1907006-Y10-01,J20,10,10,C14H9FN2O3S,O=C1NC(c2cccc(S(F)(=O)=O)c2)=Nc2c1cccc2,304.2963,98,27521095,0,Achiral,None,"3-(4-oxo-3,4-dihydroquinazolin-2-yl)benzene-1-sulfonyl fluoride","2,605","-5,12",1,4,"75,6",2,-0.128122998,5.403508772
fncPs@KIQ`abu@DPdLaFRRUQIYSQIYRRUELm@AMUTlP@@ !B_?{~_pC~?`Bw?K_}?`Bw?K\B?`Bw@k]}?`Bw?Hc|?`C~@H`B?`@@?g?~?`@,283,Z3919177969,1907006-Y10-01,K20,10,10,C12H15FN2O6S2,CS(N(CC1)CCN1C(c(cc1)ccc1OS(F)(=O)=O)=O)(=O)=O,366.3857,100,27521095,0,Achiral,None,4-(4-methanesulfonylpiperazine-1-carbonyl)phenyl sulfurofluoridate,"-0,803","-2,731",0,5,"101,06",3,-3.97181294,-5.824561404
fleac@IHpX@QBP\DYIIXdimMHdIPTrpADuUD@@ !BaPA?a[i?@KiDN{h@@Kh@ndP{n`@@nkh@QCmDQCl{QCnE@DP{,284,Z1900970612,1907006-Y10-01,L20,10,10,C12H14FNO3S2,CSC1(CCC1)C(Nc1cccc(S(F)(=O)=O)c1)=O,303.3729,100,27521095,0,Achiral,None,3-[1-(methylsulfanyl)cyclobutaneamido]benzene-1-sulfonyl fluoride,"3,145","-4,256",1,3,"63,24",4,-3.843689942,7.228070175
fnshQ@AZsUjLDl@HaHYIIUDdlihdieIR\u[KP@TuUMDp]P@ !BmpHBbOvwbGw~_{]}bGw~_?y?bOvH?_y?mwvH_X`B?g~H_Xa}?g}`FfAeKF\,285,Z4607528836,1907006-Y10-01,M20,10,10,C12H12FN5O4S,O=C(C1Cc2cnn[n]2CC1)Nc1cc(OS(F)(=O)=O)cnc1,341.3182,100,27521095,0,Racemic or presumed racemic or meso,None,"5-{4H,5H,6H,7H-[1,2,3]triazolo[1,5-a]pyridine-5-amido}pyridin-3-yl sulfurofluoridate","-1,944","-0,962",1,6,"116,07",4,-6.338503034,-6.719893546
fleQc@KAQ`p@bDaxHrRRqIYJYQHThie`@ijZD@@ !Bb@HBmwvHm?vw?Oy?m?vw__y?mww~_xa}mww~_qaSYuMeGqh_,286,Z2901809722,1907006-Y10-01,N20,10,10,C11H9FN2O3S2,O=C(Cc(cc1)ccc1S(F)(=O)=O)Nc1ncc[s]1,300.3292,94.3,27521095,0,Achiral,None,"4-{[(1,3-thiazol-2-yl)carbamoyl]methyl}benzene-1-sulfonyl fluoride","2,098","-3,093",1,4,"76,13",4,-9.710047202,2.994011976
ff}PQ@AVQ`a`ADICIIJhdeihidiIVRrt@Du@A@@@ !B@O{~_w?~?`Bw@k]}?`Bw@k\B?`C~@K\Bb@K~@Ha}mpJH@ox@?`BH@k\B,287,Z4262397627,1907006-Y10-01,O20,10,10,C14H13FN2O4S,Cc1cccc(N(C)C(c2cc(OS(F)(=O)=O)cnc2)=O)c1,324.3274,94.54,27521095,0,Achiral,None,5-[methyl(3-methylphenyl)carbamoyl]pyridin-3-yl sulfurofluoridate,"0,198","-3,636",0,4,"76,57",4,0.27155465,-8.463726885
fleac@IHpX@QBPSHYIIXdimMHlIWhrpADuUD@@ !BaPA?a[i?@KiDN{h@@Kh@ndP{n`@@nkh@QCl{NtP{QDQDNxT@,288,Z3488580806,1907006-Y10-01,P20,10,10,C12H13F2NO3S,O=C(C1(CF)CCC1)Nc1cccc(S(F)(=O)=O)c1,289.2983,97.2,27521095,0,Achiral,None,3-[1-(fluoromethyl)cyclobutaneamido]benzene-1-sulfonyl fluoride,"3,132","-3,534",1,3,"63,24",4,9.232858113,0.497866287
fakqa@MNJcFPADICIIKDeMLhdeDXIUgIkK@DRuRsQP@@ !BaEPkaKlkUKmeG|BfUKmTnvT_pJXlYq}eTv_~_{_|Fa~w?[_}pIdkn{_|Fa?_i`,289,Z5102009157,1907006-Y10-01,A21,10,10,C16H14FN3O3S,CN(C)C(c1nc(-c2cccc(S(F)(=O)=O)c2)c2[n]1cccc2)=O,347.3641,98.9,27521095,0,Achiral,None,"3-[3-(dimethylcarbamoyl)imidazo[1,5-a]pyridin-1-yl]benzene-1-sulfonyl fluoride","2,479","-3,503",0,4,"71,75",3,24.44959444,37.19211823
dk^DpFS@BHdJBLddlRRRx]NVf`@@@ !B@O{~_?x@_?ySYuLXGqh_Y[_}m?rw?K]},290,Z1269229572,1907006-Y10-01,B21,10,10,C7H4FNO2S2,O=S(c1nc(cccc2)c2[s]1)(F)=O,217.2406,91,27521095,0,Achiral,None,"1,3-benzothiazole-2-sulfonyl fluoride","2,528","-3,103",0,3,"47,03",1,17.84472769,16.00985222
dgmDpEwBBH`HRPpJRURIKG\mU]UCD@@ !BkUYUDA@j[uTj[xlGbwbH_[]}bwc~_?y?m?t,291,Z3775824591,1907006-Y10-01,C21,10,10,C7H12ClFN2O2S,N#CC1(CS(F)(=O)=O)CNCCC1.Cl,242.6988,95,27521095,36.4609,Racemic or presumed racemic or meso,None,(3-cyanopiperidin-3-yl)methanesulfonyl fluoride hydrochloride,"-0,187","-0,623",1,4,"69,96",2,16.04844815,7.331042383
do~DpGp`bHBDdLBdebbTQW[^V@`jH@@ !BcZg~_w?~@O{~@K\Bb@K~@K]}?`BH@k\BmpJw_P,292,Z3629366295,1907006-Y10-01,D21,10,10,C9H11ClFNO2S,O=S(c1c(CCNC2)c2ccc1)(F)=O.Cl,251.7055,100,27521095,36.4609,Achiral,None,"1,2,3,4-tetrahydroisoquinoline-5-sulfonyl fluoride hydrochloride","1,758","-1,992",1,3,"46,17",1,-3.179409538,19.01489118
do|BPDrw@HbPrRRqQIHrUe`HJX@@ !B@k^H@ovHmwvw@oy?mww~@K]}?g~w@oy?m?vH?P,293,Z2216274841,1907006-Y10-01,E21,10,10,C9H9FO4S,CCc(ccc(C(O)=O)c1)c1S(F)(=O)=O,232.2288,100,27521095,0,Achiral,None,4-ethyl-3-(fluorosulfonyl)benzoic acid,"3,324","-2,771",1,4,"71,44",3,20.16434893,10.96433289
foApa@EZlc@@bDaddebRrbPiV]K@ATi@@@ !B?`@@?g?~?g~w_Xa}?g?~_xa}?g|XTv]SYQ|ZGp,294,Z3398373830,1907006-Y10-01,F21,10,10,C8H6FN3O2S,O=S(c(cc1)ccc1-[n]1nncc1)(F)=O,227.2155,95,27521095,0,Achiral,None,"4-(1H-1,2,3-triazol-1-yl)benzene-1-sulfonyl fluoride","2,288","-1,538",0,4,"64,85",2,6.763590392,15.45574637
dg|BpDr[@HbPzPrRRqQSIKiwKADED@@ !B@O{~@G?~?g~w_Xa}mpK~_v@Z?g~H_RqgXFT,295,Z3333540617,1907006-Y10-01,G21,10,10,C7H4F2O4S,O=S(c(c1c(cc2)OCO1)c2F)(F)=O,222.1661,95,27521095,0,Achiral,None,"5-fluoro-1,3-dioxaindane-4-sulfonyl fluoride","2,789","-2,634",0,4,"52,6",1,3.476611884,3.698811096
f`aAQ@DXt{p@bDaddebRfRTEJV@BjX@@ !B_?{~_pC~?`BH@k\B?`C~@K\Bb@K~@Ha}b@K~_x`B,296,Z2907421977,1907006-Y10-01,H21,10,10,C9H9FO5S,COc(cc1)c(CC(O)=O)cc1S(F)(=O)=O,248.2282,95,27521095,0,Achiral,None,2-[5-(fluorosulfonyl)-2-methoxyphenyl]acetic acid,"1,851","-1,542",1,5,"80,67",4,34.23180593,22.77966102
fdqPR`IJQ`LPADICTaZP]HYIIXdhJiCARe`@ji`@@ !B_Xbw_PJwb@K~@Ha}b@JH@ha}?`C}Noy?_?x@?oy?mwvH_P,297,Z5579404715,1907006-Y10-01,I21,10,10,C7H6F4N2O4S,Nc1nccc(S(F)(=O)=O)c1.OC(C(F)(F)F)=O,290.1922,100,27521095,114.0233,Achiral,None,2-aminopyridine-4-sulfonyl fluoride; trifluoroacetic acid,"0,793","-2,157",1,4,"73,05",2,14.55525606,10.03389831
do~BQISML@bIBYOlddlRTtQEYX@aj@@ !B_?{~_pC~?`BH@k\B?`C~@H`BmpK~@Ha}?`BH@`,298,Z2907450331,1907006-Y10-01,J21,10,10,C8H8FNO4S,CCc(ccc(S(F)(=O)=O)c1)c1[N+]([O-])=O,233.2168,100,27521095,0,Achiral,None,4-ethyl-3-nitrobenzene-1-sulfonyl fluoride,"2,996","-3,392",0,4,"77,28",3,1.153106983,6.385964912
fle`S@B\]EHHcpPFPRYWVUujcCV`@h@Je@@@ !Bm?s~@K_}mpJw?K]}mpK~@K_|bOs~@Ox@b@K~@H`Bb@HBm?vH,299,Z3919182478,1907006-Y10-01,K21,10,10,C11H7ClFNO4S,O=S(Oc(cc1)ccc1Oc(cc1)ncc1Cl)(F)=O,303.694,100,27521095,0,Achiral,None,4-[(5-chloropyridin-2-yl)oxy]phenyl sulfurofluoridate,"1,964","-4,249",0,3,"65,49",4,9.737347854,19.43859649
fdyaa@AHpP@QBPrRRjJIKSIJLFLmAAEUD@@ !BmpHBbOvwbGw~_xc}m?vH?Oy??g?~@K_}b@Jw@ox@?`Bw@`,300,Z3950503819,1907006-Y10-01,L21,10,10,C12H16FNO3S,O=S(Oc(cccc1)c1NC1CCCCC1)(F)=O,273.3237,95,27521095,0,Achiral,None,2-(cyclohexylamino)phenyl sulfurofluoridate,"2,096","-3,777",1,3,"55,4",4,1.024983985,9.614035088
do|BpNFwCDtHNPrJJIQEZQi``XjT@@ !Bmwvw@oy??`Bw_[]}mpJH@oy??`Bw__vHmwtBmp,301,Z2907409632,1907006-Y10-01,M21,10,10,C8H6BrFO4S,COC(c(cc(cc1)S(F)(=O)=O)c1Br)=O,297.0982,100,27521095,0,Achiral,None,methyl 2-bromo-5-(fluorosulfonyl)benzoate,"2,697","-3,236",0,3,"60,44",3,12.67700607,11.51031271
ffcqa@C^jcA@ADICIIJhdlhdidmIW`yKKP@P@@D@@@ !B@O{~@G?~?g~H_X`B?g~H_Xa}?g~H_X`B?g~H_Xa}?g~H@ha}bGvH@ha},302,Z3919187698,1907006-Y10-01,N21,10,10,C14H10FN3O3S,Nc(cc1nc2)ccc1nc2-c(cc1)ccc1OS(F)(=O)=O,319.3109,95.56,27521095,0,Achiral,None,4-(6-aminoquinoxalin-2-yl)phenyl sulfurofluoridate,"1,488","-3,511",1,5,"95,17",3,19.95954147,6.054557552
dg|LPDrpBHdLddjdTJWB]ruUUU@@ !BXMWUG|i`G|iGRt\t?__|}yX@G}UGMD\tG}T,303,Z3033960726,1907006-Y10-01,O21,10,10,C9H15FO3S,O=S(CC1(CC1)C1CCOCC1)(F)=O,222.277,100,27521095,0,Achiral,None,[1-(oxan-4-yl)cyclopropyl]methanesulfonyl fluoride,"1,18","-0,995",0,3,"43,37",3,6.517311609,5.049786629
dg^DhJS@BHdMdCdKdLddlRRt`sK@AU@@@ !B?[^H_PJHmpJw__x@mpJw@ox@?`C~@@C~_?x,304,Z3016192064,1907006-Y10-01,P21,10,10,C6H3F4NO2S,O=S(c1nccc(C(F)(F)F)c1)(F)=O,229.1521,95,27521095,0,Achiral,None,4-(trifluoromethyl)pyridine-2-sulfonyl fluoride,"2,055","-2,348",0,3,"47,03",2,9.368635438,9.317211949
ff}`Q`KHqhp@bD`hHsHEdJrFRRVIKJPjKJPT`qe`@ejjjH@@ !B_[^H_PJHm?rw?_x@m?rw@ox@mpHBbGvwmpK~@IndiJRdiOx@?`@@?g?~,305,Z2759875840,1907006-Y10-01,A22,10,10,C11H11F4NO4S2,O=S(c(cc1)ccc1S(F)(=O)=O)(NC(C1)CC1C(F)(F)F)=O,361.333,100,27521095,0,Diastereomeric mixture,Unequal mixture of geometric isomers,4-{[3-(trifluoromethyl)cyclobutyl]sulfamoyl}benzene-1-sulfonyl fluoride,"2,857","-3,646",1,4,"80,31",4,6.373117034,13.91625616
fleaa@IHpX@QBPrRRqISZZQHRhie`BIjjH@@ !BVPA?VRY?@BXT~~h`@BX@IaS{zb@@Inh`EOlWtvcSEOcjW~U_,306,Z3488544381,1907006-Y10-01,B22,10,10,C13H16FNO3S,CC1(CCCC1)C(Nc1cccc(S(F)(=O)=O)c1)=O,285.3344,100,27521095,0,Achiral,None,3-(1-methylcyclopentaneamido)benzene-1-sulfonyl fluoride,"3,968","-3,867",1,3,"63,24",3,12.97798378,17.73399015
fbeqS@AVBcAC^@DPdGAFRRUQIKSJSRRiZ@BYZh`x`@ !B_?{~_pC~?`Bw@k]}?`Bw@k\B?`C~@H`BmpJw_PJwm?w}bK\B?g|,307,Z4262485140,1907006-Y10-01,C22,10,10,C9H12FN3O5S2,CN(C)S(C)(=NC(c1cc(OS(F)(=O)=O)cnc1)=O)=O,325.3371,100,27521095,0,Racemic or presumed racemic or meso,None,5-{[(dimethylamino)(methyl)oxo-lambda6-sulfanylidene]carbamoyl}pyridin-3-yl sulfurofluoridate,"-2,29","-2,066",0,6,106,3,-9.235427706,10.08018328
fjmac@KHpX@QBPsHYIIXdleLhdhJRRrp@Tt@P@@@ !B?K^H@gvHm?w~_{_|mwvw?[\Bmwvw@ox@mwvw@ox@mwvw?K\B?`Bw?P,308,Z2901994714,1907006-Y10-01,D22,10,10,C14H11F2NO3S,O=C(Cc(cc1)ccc1S(F)(=O)=O)Nc1cc(F)ccc1,311.3038,97.2,27521095,0,Achiral,None,4-{[(3-fluorophenyl)carbamoyl]methyl}benzene-1-sulfonyl fluoride,"3,263","-3,735",1,3,"63,24",4,1.514004542,20.50400916
fjmPQ@AVQ`a`ADICIIJhdeihidiJrVV`@fh@@@@ !B@O{~_w?~?`Bw@k]}?`Bw@k\B?`C~@K\Bb@K~@Ha}b@Jw@ox@?`Bw@`,309,Z4262465861,1907006-Y10-01,E22,10,10,C13H11FN2O4S,CN(C(c1cc(OS(F)(=O)=O)cnc1)=O)c1ccccc1,310.3008,100,27521095,0,Achiral,None,5-[methyl(phenyl)carbamoyl]pyridin-3-yl sulfurofluoridate,"-0,301","-3,14",0,4,"76,57",4,-1.074589128,8.058124174
fi{pQ@C^jcAB`BHRFRRUQIYQJIIQFRT{vVrt@EKUKME@@@ !Bim?@iig@wyeeGuR{wyeeGvT_wyeeGrqgGvUSY?y?m?pZG{_}m?w@fRn{m?pZG}~f,310,Z5102009156,1907006-Y10-01,F22,10,10,C16H14FN3O4S,CN(C)C(c1nc(-c(cc2)ccc2OS(F)(=O)=O)c2[n]1cccc2)=O,363.3635,100,27521095,0,Achiral,None,"4-[3-(dimethylcarbamoyl)imidazo[1,5-a]pyridin-1-yl]phenyl sulfurofluoridate","0,737","-3,754",0,4,"80,98",4,3.097345133,13.21003963
fjmQQ@AVQ`ad`BHRFRRUQIKSQIRRUELm@AMUUD@@ !B@hbw@gvwbOvH?Ox@bOvH@hc|bOvH?_y?bOs~@Hc}b@JH?Hc}bwbt^@,311,Z4262440764,1907006-Y10-01,G22,10,10,C12H15FN2O5S,CC(C)(C1)OCCN1C(c1cc(OS(F)(=O)=O)cnc1)=O,318.3213,100,27521095,0,Achiral,None,"5-(2,2-dimethylmorpholine-4-carbonyl)pyridin-3-yl sulfurofluoridate","-0,867","-2,253",0,5,"85,8",3,-2.718078382,-4.095112285
f`qQc@FZQbP@bD`xHrRRiQQZYZL{tmULmM@@@ !BmpHBbGvwbOw~_xa}b@K~_?x@bGvH__y?XAi`YRqg,312,Z166653144,1907006-Y10-01,H22,10,10,C8H7FN2O3S2,O=C1N(CCS(F)(=O)=O)C=Nc2c1cc[s]2,262.2812,100,27521095,0,Achiral,None,"2-{4-oxo-3H,4H-thieno[2,3-d]pyrimidin-3-yl}ethane-1-sulfonyl fluoride","0,526","-2,48",0,4,"66,81",3,12.53369272,2.305084746
fdya``CHpP@QBPCHQdLddjbRrTVdeN}KP@UUQ@@@ !B_?{~_pC~?`Bw@k]}?`Bw@k\B?`Bw@ox@fzRdiJRdfzRdi@,313,Z4615034803,1907006-Y10-01,I22,10,10,C10H10F3NO3S,O=S(Oc1ccc(CN(C2)CC2(F)F)cc1)(F)=O,281.2515,96.78,27521095,0,Achiral,None,"4-[(3,3-difluoroazetidin-1-yl)methyl]phenyl sulfurofluoridate","1,661","-2,952",0,3,"46,61",4,13.07277628,0.813559322
do^DHNNpbEBMdGbDfUuVbf`@jiP@@ !B?`Bw@h`B?`C~@H`B?`BH@ox@b@JH@orw_X`lX`,314,Z2734827186,1907006-Y10-01,J22,10,10,C8H10Cl2FNO2S,O=S(CCNc(cc1)ccc1Cl)(F)=O.Cl,274.1399,93,27521095,36.4609,Achiral,None,2-[(4-chlorophenyl)amino]ethane-1-sulfonyl fluoride hydrochloride,"2,499","-3,15",1,3,"46,17",4,-16.78411275,4.561403509
fbuPq@MIQ`eoY@DPdLddjbRrTtRTeQSKP@TuTeAt@@ !Bb@HBmwvHmww~_{]}bGw~_?y?bGw~_xa}b@K~_qaSYuMeGqh_KF\,315,Z4607567220,1907006-Y10-01,K22,10,10,C10H9FN2O6S,O=C([C@H](CN1)OC1=O)Nc(cc1)ccc1OS(F)(=O)=O,304.2517,100,27521095,0,Single known enantiomer,None,"4-[(5S)-2-oxo-1,3-oxazolidine-5-amido]phenyl sulfurofluoridate","-0,685","-2,784",2,4,"110,8",4,-1.409352979,8.49122807
fdyha@F\d{rL@BHRFRRUJIYQIZRoAejiX@J@@@ !BYrqSYqaSKAcMtBpX@OyeXAi`FBs~@K\Bb@K~@Ox@b@K~@@,316,Z4380379353,1907006-Y10-01,L22,10,10,C9H10FN5O2S,Cc(nc1)ncc1-c1c[n](CCS(F)(=O)=O)nn1,271.2714,96.8,27521095,0,Achiral,None,"2-[4-(2-methylpyrimidin-5-yl)-1H-1,2,3-triazol-1-yl]ethane-1-sulfonyl fluoride","-0,174","-0,514",0,6,"90,63",4,-15.88725176,7.929824561
fdyaS@LPQHLPAE`ctaddabbRVVdipsej`XHe`@@ !BF]}DjrpXGqiSF@C~?`Bw?Qi`@k^w@k\B@Ozw_PC~?g?~@@,317,Z166653160,1907006-Y10-01,M22,10,10,C9H8FNO5S2,O=C(c1c2cccc1)N(CCS(F)(=O)=O)S2(=O)=O,293.2919,100,27521095,0,Achiral,None,"2-(1,1,3-trioxo-2,3-dihydro-1lambda6,2-benzothiazol-2-yl)ethane-1-sulfonyl fluoride","0,559","-2,6",0,5,"88,59",3,-2.0229265,-0.465735196
fhiac@NHqh@QBPlDYIIXdihXdIW`ruUSSTpIP@ !BbOw}mpJHmpJw__x@mpJw@k]}?`Bw@oy?FEMgTvT_Fa|,318,Z2940561647,1907006-Y10-01,N22,10,10,C10H12FNO3S2,O=C(c1ccc[s]1)N(CCC1)CC1S(F)(=O)=O,277.3356,100,27521095,0,Racemic or presumed racemic or meso,None,1-(thiophene-2-carbonyl)piperidine-3-sulfonyl fluoride,"1,147","-3,1",0,3,"54,45",2,6.608226568,1.397205589
fjmaS@KHqhvPADIAPQddebRrdLTRpiIsK@AKUUQ@@@ !B_Xbw_PJwbOs~@Hc}b@JH?Ha}b@HBm?vHbOrH?_x@bOs~_x`B?`C~@@,319,Z1761842492,1907006-Y10-01,O22,10,10,C12H16FNO5S2,CC(COC(C)C1)N1S(c(cc1)ccc1S(F)(=O)=O)(=O)=O,337.3875,95,27521095,0,Diastereomeric mixture,Unequal mixture of geometric isomers,"4-[(2,5-dimethylmorpholin-4-yl)sulfonyl]benzene-1-sulfonyl fluoride","2,484","-2,813",0,5,"80,75",2,11.26951799,4.054054054
