Structure [idcode],Structure No,Catalog ID,Plate_ID,Well,"V, ÂµL","Conc, mM",Formula,SMILES,MW,Purity,PO,MW_salt,Stereochem.data,Geometric.isomer,Chemical name,ClogP,logS,HBD,HBA,TPSA,RotBonds,% inh rep1,% inh rep2
ff}qa@IYJcA`ADICIIKDeMiiEBlIVRrpADuTmD@@ !Bs|wRs}CRs]@lFK}Ns]CMtBpXot{MtK}NKA`lFAaSYrp@?fU`Ff@XKOx@,117,Z3488542931,1907006-Y10-01,E10,10,10,C14H16FN3O3S,CC(C)(C(Nc1cccc(S(F)(=O)=O)c1)=O)c1c[n](C)nc1,325.3585,100,27521095,0,Achiral,None,3-[2-methyl-2-(1-methyl-1H-pyrazol-4-yl)propanamido]benzene-1-sulfonyl fluoride,"2,338","-2,131",1,4,"81,06",4,18.47085541,17.98396334
fhiQa@FFQbP@bDaddeRbbttVkNCKUSLuR@@ !B_Xbw_PJwbOs~@Hc|bOw~@Oy?bOrH?FAe?`@lFAh_XAh,118,Z2855072594,1907006-Y10-01,F10,10,10,C10H11FN2O3S,C[n](cc1)c2c1C=CN(CCS(F)(=O)=O)C2=O,258.2693,100,27521095,0,Achiral,None,"2-{1-methyl-7-oxo-1H,6H,7H-pyrrolo[2,3-c]pyridin-6-yl}ethane-1-sulfonyl fluoride","0,645","-0,85",0,3,"59,38",3,-3.982300885,9.247027741
fi{QS@KMQcQj`BHRD`cIIKDeMIUDeMEaJRWhyX@aZ@HZ`P@@ !Bm?w}b@Jwb@K~@Ha}bOrH@ox@bOu??`C~?`Bw@k_}?`Bw@k\Bm?w~@Oy?mpJw@ox@,119,Z2509440677,1907006-Y10-01,G10,10,10,C15H11FN2O5S2,O=C1NC=Cc(cc2)c1cc2NS(c1cccc(S(F)(=O)=O)c1)(=O)=O,382.3866,100,27521095,0,Achiral,None,"3-[(1-oxo-1,2-dihydroisoquinolin-7-yl)sulfamoyl]benzene-1-sulfonyl fluoride","2,272","-4,903",2,5,"109,41",3,27.49683944,22.85336856
flu`c@FHp@HaHAdLddjTTRRbfejt_IejhHJbb@@ !BXFTZXA|ZYQ}TnvT_KF\_YUMg`CG~_}KOtl|?uld?Tv^@L\d?,120,Z2855073413,1907006-Y10-01,H10,10,10,C13H15F2NO2S,O=S(CCN(CC12CCC1)c1c2c(F)ccc1)(F)=O,287.3255,98.6,27521095,0,Achiral,None,"2-{4'-fluoro-1',2'-dihydrospiro[cyclobutane-1,3'-indol]-1'-yl}ethane-1-sulfonyl fluoride","3,557","-3,264",0,3,"37,38",3,-0.269541779,-3.525423729
fhiqc@FBtkpPQE`atadTRTtRRLeNZM@DUKRd@@ !BbGw~_x`BbGvH__y?b@HXTv]SbGueGqh_?g?~_w?~@Ox,121,Z3919186123,1907006-Y10-01,I10,10,10,C8H5ClFN3O3S,O=S(Oc(ccc(Cl)c1)c1-[n]1nncc1)(F)=O,277.66,100,27521095,0,Achiral,None,"4-chloro-2-(1H-1,2,3-triazol-1-yl)phenyl sulfurofluoridate","0,998","-2,558",0,4,"74,08",3,2.830188679,2.440677966
fdyac@IHpX@QBP\DYIIXdimMHaJ|FV@Hfjb@@ !BuV@_u\h_XLhxRyX@XLi`rcaKe`A`riX@NDlxMOww?O^i@@,122,Z3488544723,1907006-Y10-01,J10,10,10,C11H12FNO3S2,CSC1(CC1)C(Nc1cccc(S(F)(=O)=O)c1)=O,289.3463,100,27521095,0,Achiral,None,3-[1-(methylsulfanyl)cyclopropaneamido]benzene-1-sulfonyl fluoride,"2,586","-3,719",1,3,"63,24",4,14.95956873,1.084745763
f`apQBF\lcCo@BHREi}vRRUJIQHrRiZjVih@@ !BFEMSYv\lKAb@LRpXYV@@?a`lFf@lY?x@XAjDJz[@,123,Z166653166,1907006-Y10-01,K10,10,10,C7H10FN3O4S,Cc([n](CCS(F)(=O)=O)nc1C)c1[N+]([O-])=O,251.2354,100,27521095,0,Achiral,None,"2-(3,5-dimethyl-4-nitro-1H-pyrazol-1-yl)ethane-1-sulfonyl fluoride","0,516","-1,14",0,5,"95,1",4,-24.59961563,4.701754386
f`aaa@CHpx@QBPrRRqIYIJBeK@AUL@@@ !B?Xbw_PJwb@K~@Ha}bOrH@hc}bOrH?Xc|bOw~_xc|,124,Z1649371884,1907006-Y10-01,L10,10,10,C10H12FNO3S,CC(NCCc(cc1)ccc1S(F)(=O)=O)=O,245.2706,90,27521095,0,Achiral,None,4-(2-acetamidoethyl)benzene-1-sulfonyl fluoride,"1,182","-1,861",1,3,"63,24",4,2.69058296,9.192982456
f`q`Q@OHpQp@bDaddeTRTrTdjwiZ@Bib@@ !B?g}??`C~?`Bw@k_}?`Bw@k\B?`Bw?[\BmpK~@K]},125,Z3919173610,1907006-Y10-01,M10,10,10,C9H8FNO4S,O=C1NCCc2c1ccc(OS(F)(=O)=O)c2,245.2275,100,27521095,0,Achiral,None,"1-oxo-1,2,3,4-tetrahydroisoquinolin-6-yl sulfurofluoridate","-0,58","-2,232",1,3,"72,47",2,2.697235334,2.727877578
fdiAR`DXxFH@bD`ZPmHNdLddlTRVdUdmRpPQUL@@@ !B?g|@?g?~?`BH@k\BbGw~@Ox@b@Jw@h`B?X`Bm?x@mpJH@`,126,Z2216273412,1907006-Y10-01,N10,10,10,C8H4F4O5S,OC(c(cc1)cc(OC(F)(F)F)c1S(F)(=O)=O)=O,288.173,93,27521095,0,Achiral,None,4-(fluorosulfonyl)-3-(trifluoromethoxy)benzoic acid,"3,102","-3,409",1,5,"80,67",4,18.6109238,18.03060546
fbuqQ@AVBcACI@DPdLddjbRVfbfTeIsKP@STtd@@ !B_?{~@@C~?g~H_X`B?g~H_Xa}?g?~_xc}m?w~_{\BFEMgTvT_Fa|,127,Z4262428036,1907006-Y10-01,O10,10,10,C10H8FN3O5S,CN(C(c1cc(OS(F)(=O)=O)cnc1)=O)c1n[o]cc1,301.251,100,27521095,0,Achiral,None,"5-[methyl(1,2-oxazol-3-yl)carbamoyl]pyridin-3-yl sulfurofluoridate","-2,322","-2,096",0,5,"102,6",4,17.53202967,2.195608782
dknDhNS@BHdEdMdCdLddlRrdxYYijh@@ !BYrqSYqaSKA`@?fU`Ff@XKOx@?`@@?g?~,128,Z2907429828,1907006-Y10-01,P10,10,10,C5H3F4NO2S,O=S(c1c[nH]c(C(F)(F)F)c1)(F)=O,217.1414,99,27521095,0,Achiral,None,5-(trifluoromethyl)-1H-pyrrole-3-sulfonyl fluoride,"2,499","-2,237",1,2,"49,93",2,93.8221317,99.92887624
fasPR`MNQ`e`ADIBl`vP{HYIIUDedihdliIJSfV`@ijijb@@ !B?Xbw?PJwb@K~@K\Bb@K~@Ox@b@K~@Hc|bOw~@K\Bb@K~@Ox@b@K~@Ox@@Oy??`,129,Z4332073199,1907006-Y10-01,A11,10,10,C13H12F4N2O4S,O=C(Nc(cc1)ccc1OS(F)(=O)=O)N(CC1)CC=C1C(F)(F)F,368.304,100,27521095,0,Achiral,None,"4-{[4-(trifluoromethyl)-1,2,3,6-tetrahydropyridine-1-carbonyl]amino}phenyl sulfurofluoridate","0,483","-4,412",1,3,"75,71",4,47.97219003,63.30049261
dkNDHCp`bHBDdFdLBdefbRtyZ`@Hj`@ !B}][|mxc|_Xbw_[\B?g~w?Xc}?g?~_xc},130,Z3772928002,1907006-Y10-01,B11,10,10,C6H6ClF2NO2S,O=S(C(c1ccncc1)F)(F)=O.Cl,229.6321,100,27521095,36.4609,Racemic or presumed racemic or meso,None,fluoro(pyridin-4-yl)methanesulfonyl fluoride hydrochloride,"0,7","-1,185",0,3,"47,03",2,0.23174971,15.27093596
fdyQa@C^Q``@bDaddeTRVTRrdiwiZ@BejH@@ !Bs}KMs}CMtmASFK|qtmASFELXtmASFG?~FfAeXF\l?`Bw@`,131,Z3489903879,1907006-Y10-01,C11,10,10,C11H11FN2O3S,CC[n]1cnc(-c(cc2)ccc2OS(F)(=O)=O)c1,270.28,100,27521095,0,Achiral,None,4-(1-ethyl-1H-imidazol-4-yl)phenyl sulfurofluoridate,"1,038","-2,932",0,3,"61,19",4,-9.235427706,4.12371134
dg\BPDp{@HbPrRRqQKZRllAAL@@ !B@k^H@ovHmwvw@oy?mww~@K]}?g?~_{_}bOt,132,Z1269121962,1907006-Y10-01,D11,10,10,C8H7FO4S,Cc(ccc(C(O)=O)c1)c1S(F)(=O)=O,218.2022,98.45,27521095,0,Achiral,None,3-(fluorosulfonyl)-4-methylbenzoic acid,"2,796","-2,255",1,4,"71,44",2,7.57002271,27.72050401
fdyqa@CN|cA@ADICIIJhdlheeISoRt@EKTP@@ !BShB?ScF?`CDlFLwP`CDlFBpX`CDlF@C~YV@ZXA`l?`BH@`,133,Z3950503816,1907006-Y10-01,E11,10,10,C10H10FN3O3S,CC[n]1nnc(-c(cc2)ccc2OS(F)(=O)=O)c1,271.2681,98.64,27521095,0,Achiral,None,"4-(1-ethyl-1H-1,2,3-triazol-4-yl)phenyl sulfurofluoridate","0,521","-2,451",0,4,"74,08",4,-6.207418622,-6.071019473
dmuDPJyL@HbPrRRqIXYe`@`@@ !B_?{~_pC~?`BH@k\B?`C~@K\B?`@,134,Z1778582295,1907006-Y10-01,F11,10,10,C5H5FN2O2S,Cc(cc1)nnc1S(F)(=O)=O,176.1688,95,27521095,0,Achiral,None,6-methylpyridazine-3-sulfonyl fluoride,"0,457","-1,276",0,4,"59,92",1,3.603034134,16.24834875
fjmPQ@AVQ`a`ADICIIJhdeieDdiJrVV`@fjjb@@ !BmpHBbGvwbGw~_{]}bGw~_?y?bGvH_X`B?g~H_QE?ZNqDjv@e`CZJkp,135,Z4262511156,1907006-Y10-01,G11,10,10,C13H17FN2O4S,O=C(c1cc(OS(F)(=O)=O)cnc1)NC1CCCCCC1,316.3485,92.55,27521095,0,Achiral,None,5-(cycloheptylcarbamoyl)pyridin-3-yl sulfurofluoridate,"1,122","-3,446",1,4,"85,36",4,9.292035398,-1.717305152
dcNDpJS@BHdMdLddlRRPsK@AP@@ !B?Xbw_PJwb@JH__x@b@JH@ox@?`BH@`,136,Z4339294741,1907006-Y10-01,H11,10,10,C6H5F2NO2S,Cc1cc(S(F)(=O)=O)ncc1F,193.1712,100,27521095,0,Achiral,None,5-fluoro-4-methylpyridine-2-sulfonyl fluoride,"1,792","-1,821",0,3,"47,03",1,14.95956873,4.474576271
